q90,q97,alpha,beta,activation,score,integrity,agency,stability
0.65,0.825,0.4,2.0,0.3492537313432836,0.5476510067114094,0.2859665943381945,0.7260432961598627,0.7142352525609326
0.65,0.825,0.4,3.0,0.3492537313432836,0.5480748851995761,0.2835444315486703,0.7277085330776606,0.7178684967452188
0.65,0.825,0.4,4.0,0.3492537313432836,0.548761164656608,0.28319119947519805,0.7277085330776606,0.7220063581773225
0.65,0.825,0.45,2.0,0.3492537313432836,0.5472473129131554,0.3012060352222839,0.7005096634202957,0.7328051672806176
0.65,0.825,0.45,3.0,0.3492537313432836,0.5476207296765404,0.2989857193318868,0.700862895493768,0.7384064187313922
0.65,0.825,0.45,4.0,0.3492537313432836,0.5469142655295958,0.29848110208406925,0.7007619720442044,0.7360851793914316
0.65,0.825,0.5,2.0,0.3492537313432836,0.5457940152394409,0.3204319523641318,0.6722006358177323,0.7437048998334763
0.65,0.825,0.5,3.0,0.3492537313432836,0.5468133420800323,0.3180602512993894,0.6729575616894585,0.7520310844224656
0.65,0.825,0.5,4.0,0.3492537313432836,0.5467124186304688,0.31695009335419083,0.6736640258364031,0.7523338547711561
0.65,0.825,0.55,2.0,0.3492537313432836,0.5477721148508856,0.3296664479991926,0.6562042690619165,0.7671191401322097
0.65,0.825,0.55,3.0,0.3492537313432836,0.5474794368471514,0.32825351970530353,0.6567088863097341,0.767472372205682
0.65,0.825,0.55,4.0,0.3492537313432836,0.5470858353938538,0.32739567038401374,0.6575667356310239,0.7655043649391936
0.65,0.825,0.6,2.0,0.3492537313432836,0.5485088560326992,0.34273603471766667,0.6399051319574103,0.777261946813342
0.65,0.825,0.6,3.0,0.3492537313432836,0.5487308876217389,0.3398597164051067,0.6407125195539184,0.7825099661906444
0.65,0.825,0.6,4.0,0.3492537313432836,0.5497199374274613,0.3390523288085987,0.6412675985265176,0.7879598324670737
0.7,0.85,0.4,2.0,0.30149253731343284,0.5518696069031639,0.29005399404551646,0.7305343896654387,0.7181712670939092
0.7,0.85,0.4,3.0,0.30149253731343284,0.5525357016702832,0.28859060402684567,0.7315940858858556,0.722309128526013
0.7,0.85,0.4,4.0,0.30149253731343284,0.5521622849068981,0.2877832164303376,0.7305848513902206,0.7240752888933744
0.7,0.85,0.45,2.0,0.30149253731343284,0.550174092950497,0.30640359287480445,0.7030832113841651,0.7318968562345461
0.7,0.85,0.45,3.0,0.30149253731343284,0.5508401877176162,0.3043346621587526,0.7029318262098199,0.7396679618509361
0.7,0.85,0.45,4.0,0.30149253731343284,0.5505374173689257,0.30463743250744313,0.7026290558611293,0.7381541101074834
0.7,0.85,0.5,2.0,0.30149253731343284,0.550345662814755,0.32628551243881515,0.6732603320381491,0.7526366251198466
0.7,0.85,0.5,3.0,0.30149253731343284,0.5495281828732906,0.32436796689710856,0.6735631023868396,0.7517787757985568
0.7,0.85,0.5,4.0,0.30149253731343284,0.5499722460513701,0.32436796689710856,0.6733612554877125,0.754402785487208
0.7,0.85,0.55,2.0,0.30149253731343284,0.5504768632991875,0.33597416359691173,0.6559519604380077,0.7685320684260988
0.7,0.85,0.55,3.0,0.30149253731343284,0.551435636070041,0.33541908462431247,0.6561033456123531,0.7741333198768734
0.7,0.85,0.55,4.0,0.30149253731343284,0.5503961245395368,0.33471262047736794,0.6561538073371348,0.7702477670686784
0.7,0.85,0.6,2.0,0.30149253731343284,0.5527678256042792,0.34969975273754855,0.6390472826361205,0.7863450572740577
0.7,0.85,0.6,3.0,0.30149253731343284,0.55221274663168,0.3480849775445325,0.638946359186557,0.7870010596962204
0.7,0.85,0.6,4.0,0.30149253731343284,0.5532724428520968,0.34752989857193317,0.6395014381591563,0.7922995407983044
0.75,0.875,0.4,2.0,0.2507462686567164,0.5563405157188273,0.30115557349750216,0.7317454710602008,0.7159004894787304
0.75,0.875,0.4,3.0,0.2507462686567164,0.5568855023464703,0.3002472624514306,0.7315940858858556,0.7207448150577787
0.75,0.875,0.4,4.0,0.2507462686567164,0.5562900539940455,0.2992884896805773,0.731089468638038,0.7206943533329969
0.75,0.875,0.45,2.0,0.2507462686567164,0.555553312812232,0.3192713326941515,0.701670283090276,0.7358833324923045
0.75,0.875,0.45,3.0,0.2507462686567164,0.5547358328707676,0.31896856234546095,0.7012161275672403,0.7333097845284352
0.75,0.875,0.45,4.0,0.2507462686567164,0.5551294343240651,0.3174042488772266,0.7004087399707322,0.7400211939244083
0.75,0.875,0.5,2.0,0.2507462686567164,0.5551395266690216,0.3405661805520513,0.6699298582025534,0.7547055558358985
0.75,0.875,0.5,3.0,0.2507462686567164,0.5542514003128627,0.3391532522581622,0.6695766261290811,0.7537972447898269
0.75,0.875,0.5,4.0,0.2507462686567164,0.5548165716304183,0.3392037139829439,0.6700307816521168,0.7556138668819701
0.75,0.875,0.55,2.0,0.2507462686567164,0.5558863601957915,0.3518191451783822,0.6527224100519756,0.770348690518242
0.75,0.875,0.55,3.0,0.2507462686567164,0.5561285764747439,0.35015390826058435,0.6533279507493566,0.7736791643538377
0.75,0.875,0.55,4.0,0.2507462686567164,0.5558358984710098,0.3495483675632033,0.6531261038502296,0.7738305495281829
0.75,0.875,0.6,2.0,0.2507462686567164,0.5581975071907957,0.3650905787959832,0.6349598829287985,0.7908866125044154
0.75,0.875,0.6,3.0,0.2507462686567164,0.5581672301559267,0.36322349497905837,0.6348084977544532,0.7947721653126104
0.75,0.875,0.6,4.0,0.2507462686567164,0.5579956602916688,0.3631225715294949,0.6342534187818539,0.7952263208356461
0.8,0.9,0.4,2.0,0.20298507462686566,0.5587324014734824,0.30327496593833575,0.7314427007115103,0.7242266740677197
0.8,0.9,0.4,3.0,0.20298507462686566,0.5571882726951607,0.30176111419488316,0.7311399303628198,0.7201392743603976
0.8,0.9,0.4,4.0,0.20298507462686566,0.5577231669778473,0.30125649694706563,0.7313417772619468,0.7234192864712116
0.8,0.9,0.45,2.0,0.20298507462686566,0.5565726396528234,0.32229903618105665,0.7002068930716052,0.7378513397587929
0.8,0.9,0.45,3.0,0.20298507462686566,0.5548771257001565,0.3206337992632588,0.7001059696220416,0.7329060907301812
0.8,0.9,0.45,4.0,0.20298507462686566,0.5552505424635414,0.31987687339153253,0.6998031992733512,0.7368925669879397
0.8,0.9,0.5,2.0,0.20298507462686566,0.5579855679467125,0.3447545037089368,0.6688197002573548,0.762779431800979
0.8,0.9,0.5,3.0,0.20298507462686566,0.5559368219205733,0.3436443457637382,0.6684664681838826,0.7554624817076248
0.8,0.9,0.5,4.0,0.20298507462686566,0.5556744209517082,0.3423323409194126,0.6677095423121562,0.758288338295403
0.8,0.9,0.55,2.0,0.20298507462686566,0.5572992884896806,0.3546954634909421,0.6501488620881062,0.7768077912903063
0.8,0.9,0.55,3.0,0.20298507462686566,0.5564818085482162,0.3533834586466165,0.6497956300146339,0.77605086541858
0.8,0.9,0.55,4.0,0.20298507462686566,0.5563506080637837,0.3531816117474895,0.6503002472624514,0.7747893222990362
0.8,0.9,0.6,2.0,0.20298507462686566,0.5598021900388556,0.3691275167785235,0.6319321794418933,0.796891557753444
0.8,0.9,0.6,3.0,0.20298507462686566,0.5588131402331332,0.3679164353837614,0.6310238683958218,0.7961850936064995
0.8,0.9,0.6,4.0,0.20298507462686566,0.5584498158147045,0.36741181813594387,0.6312761770197305,0.7948730887621739
0.85,0.925,0.4,2.0,0.16417910447761194,0.5640712519553919,0.31412423676641266,0.7356814855931776,0.7207448150577787
0.85,0.925,0.4,3.0,0.16417910447761194,0.5643841146490387,0.3131654639955594,0.7352273300701418,0.7251349851137912
0.85,0.925,0.4,4.0,0.16417910447761194,0.5646263309279912,0.3120553060503608,0.7349750214462331,0.7290709996467679
0.85,0.925,0.45,2.0,0.16417910447761194,0.5626986930413281,0.3343089266791139,0.7027804410354745,0.7393147297774638
0.85,0.925,0.45,3.0,0.16417910447761194,0.5617399202704749,0.33319876873391535,0.7016198213654943,0.739062421153555
0.85,0.925,0.45,4.0,0.16417910447761194,0.5613866881970025,0.33244184286218903,0.7017712065398395,0.7385073421809557
0.85,0.925,0.5,2.0,0.16417910447761194,0.5610435484684867,0.3577231669778473,0.6674067719634658,0.7549578644598073
0.85,0.925,0.5,3.0,0.16417910447761194,0.5614472422667408,0.356764394206994,0.6684160064591008,0.7568754100015138
0.85,0.925,0.5,4.0,0.16417910447761194,0.5616995508906495,0.35570469798657717,0.6678104657617198,0.7614674269566534
0.85,0.925,0.55,2.0,0.16417910447761194,0.563213402634102,0.3691275167785235,0.6503507089872331,0.7771105616389968
0.85,0.925,0.55,3.0,0.16417910447761194,0.5631225715294949,0.3678155119341979,0.6501993238128879,0.7795831861533027
0.85,0.925,0.55,4.0,0.16417910447761194,0.5617399202704748,0.36736135641116213,0.6493414744915981,0.7752939395468537
0.85,0.925,0.6,2.0,0.16417910447761194,0.5656456577685827,0.3836604935156684,0.6304183276984408,0.8000706464146945
0.85,0.925,0.6,3.0,0.16417910447761194,0.5645859615481658,0.38315587626785086,0.6299137104506232,0.7967906343038805
0.85,0.925,0.6,4.0,0.16417910447761194,0.5661603673613564,0.3822475652217793,0.6302669425240954,0.8057728213150326
